rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type
3.0,2.0,1.0,130.0,80.0,250000.0,Casa
3.0,2.0,1.0,108.0,90.0,235000.0,Casa
2.0,1.0,1.0,107.0,70.0,155000.0,Casa
3.0,2.0,1.0,56.0,56.0,148000.0,Casa
3.0,2.0,1.0,90.0,90.0,299000.0,Casa
4.0,3.0,3.0,140.0,100.0,240000.0,Casa
4.0,3.0,1.0,120.0,120.0,185000.0,Casa
3.0,2.0,2.0,90.0,90.0,180000.0,Casa
4.0,3.0,3.0,146.0,105.0,260000.0,Casa
2.0,1.0,1.0,35.0,35.0,68000.0,Casa
2.0,1.0,1.0,35.0,35.0,68000.0,Casa
3.0,2.0,2.0,75.0,68.0,250000.0,Casa
4.0,3.0,1.0,135.0,85.0,265000.0,Casa
4.0,3.0,1.0,124.0,90.0,245000.0,Casa
4.0,3.0,1.0,147.0,95.0,280000.0,Casa
4.0,3.0,2.0,147.0,120.0,290000.0,Casa
2.0,1.0,2.0,58.0,50.0,230000.0,Casa
1.0,1.0,,26.0,26.0,69500.0,Casa
2.0,1.0,1.0,35.0,33.0,83000.0,Casa
2.0,1.0,1.0,35.0,33.0,83000.0,Casa
3.0,2.0,2.0,85.0,85.0,299000.0,Casa
3.0,2.0,2.0,130.0,80.0,400000.0,Casa
3.0,2.0,2.0,130.0,80.0,400000.0,Casa
4.0,2.0,2.0,123.0,123.0,240000.0,Casa
4.0,3.0,1.0,87.0,87.0,260000.0,Casa
4.0,3.0,1.0,126.0,86.0,270000.0,Casa
3.0,2.0,1.0,48.0,41.0,108000.0,Casa
4.0,3.0,1.0,84.0,70.0,160000.0,Casa
3.0,2.0,1.0,108.0,80.0,185000.0,Casa
4.0,3.0,2.0,126.0,84.0,265000.0,Casa
3.0,2.0,2.0,141.0,93.0,205000.0,Casa
3.0,2.0,1.0,95.0,70.0,200000.0,Casa
4.0,3.0,2.0,135.0,114.0,180000.0,Casa
3.0,2.0,2.0,150.0,100.0,403200.0,Casa
4.0,3.0,1.0,123.0,90.0,119000.0,Casa
4.0,3.0,2.0,152.0,135.0,199500.0,Casa
4.0,3.0,2.0,140.0,116.0,130000.0,Casa
4.0,3.0,2.0,153.0,91.0,220000.0,Casa
4.0,3.0,1.0,127.0,127.0,149000.0,Casa
4.0,3.0,1.0,135.0,135.0,329900.0,Casa
4.0,3.0,1.0,126.0,86.0,270000.0,Casa
4.0,3.0,1.0,126.0,89.0,178000.0,Casa
4.0,3.0,1.0,127.0,127.0,149000.0,Casa
2.0,1.0,1.0,130.0,100.0,135000.0,Casa
3.0,2.0,2.0,111.0,100.0,272000.0,Casa
4.0,3.0,1.0,150.0,120.0,210000.0,Casa
4.0,3.0,1.0,134.0,98.0,175000.0,Casa
3.0,2.0,1.0,85.0,82.0,195000.0,Casa
3.0,2.0,1.0,85.0,75.0,85000.0,Casa
4.0,3.0,1.0,135.0,100.0,245000.0,Casa
4.0,2.0,2.0,95.0,74.0,172000.0,Casa
4.0,3.0,2.0,129.0,87.0,219000.0,Casa
4.0,3.0,1.0,150.0,132.0,229000.0,Casa
3.0,2.0,1.0,150.0,70.0,230000.0,Casa
4.0,3.0,,90.0,90.0,250000.0,Casa
4.0,3.0,2.0,102.0,102.0,180000.0,Casa
3.0,2.0,1.0,148.0,112.0,195000.0,Casa
4.0,3.0,3.0,137.0,117.0,370000.0,Casa
4.0,3.0,3.0,137.0,117.0,370000.0,Casa
4.0,3.0,3.0,137.0,117.0,370000.0,Casa
4.0,3.0,3.0,137.0,117.0,370000.0,Casa
4.0,3.0,3.0,137.0,117.0,370000.0,Casa
4.0,3.0,3.0,90.0,90.0,192000.0,Casa
4.0,3.0,3.0,90.0,90.0,192000.0,Casa
4.0,3.0,1.0,124.0,64.0,140000.0,Casa
3.0,2.0,2.0,82.0,74.0,179000.0,Casa
4.0,3.0,3.0,137.0,117.0,370000.0,Casa
3.0,2.0,,90.0,90.0,280000.0,Casa
3.0,2.0,3.0,120.0,120.0,210000.0,Casa
2.0,1.0,2.0,57.0,48.0,139000.0,Casa
